"";"X";"tax_id";"nom_binomial";"basisOfRecord";"individualCount";"kingdom";"recordedBy";"eventDate";"country";"countryCode";"island"
"1";1;"ABUEXS";"Abutilon exstipulare";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"2";2;"ALBLEB";"Albizia lebbeck";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"3";3;"COPBOR";"Coptosperma borbonicum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"4";4;"CROMAU";"Croton mauritianus";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"5";5;"DIOBOR";"Diospyros borbonica";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"6";6;"FERBUX";"Fernelia buxifolia";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"7";7;"FURFOE";"Furcraea foetida";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"8";8;"HEDGAR";"Hedychium gardnerianum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"9";9;"HIPBEN";"Hiptage benghalensis";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"10";10;"LANCAM";"Lantana camara";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"11";11;"LEULEU";"Leucaena leucocephala";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"12";12;"LITGLU";"Litsea glutinosa";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"13";13;"OLAPSI";"Olax psittacorum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"14";14;"POLCUT";"Polyscias cutispongia";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"15";15;"POUBOR";"Poupartia borbonica";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"16";16;"PSICAT";"Psidium cattleyanum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"17";17;"SEALON";"Searsia longipes";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"18";18;"TERBEN";"Terminalia bentzoe";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"19";19;"VOLHET";"Volkameria heterophylla";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
"20";20;"ZANHET";"Zanthoxylum heterophyllum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion"
